rank,date_12ut,jd,robust_score,matched_unique_modules,selected_modules_json
80,0559-12-12T12:00:00Z,1925576.0,2.0910696983337402,1,"[{""module_id"":""1913_S_Merc_V"",""source_group"":""1913-12-23"",""family_id"":""F15_D_Mercury-Saturn-Venus"",""excess_surprisal"":2.0910696983337402,""n_bodies"":3,""note"":""Saturn opposite Mercury/Venus fork""}]"
81,0810-10-13T12:00:00Z,2017192.0,2.0910696983337402,1,"[{""module_id"":""1978_Merc_N_M"",""source_group"":""1978-12-11"",""family_id"":""F05_D_Mars-Mercury-Neptune"",""excess_surprisal"":2.0910696983337402,""n_bodies"":3,""note"":""Mercury\u2013Neptune\u2013Mars midpoint""}]"
82,1956-04-29T12:00:00Z,2435593.0,2.0910696983337402,1,"[{""module_id"":""1775_Merc_U_S"",""source_group"":""1775-04-19"",""family_id"":""F14_D_Mercury-Saturn-Uranus"",""excess_surprisal"":2.0910696983337402,""n_bodies"":3,""note"":""Mercury\u2013Uranus\u2013Saturn 60/120/180 module""}]"
83,0286-08-27T12:00:00Z,1825758.0,2.0910696983337402,1,"[{""module_id"":""2000_N_U_V_Merc"",""source_group"":""2000-03-10"",""family_id"":""F36_D_Mercury-Neptune-Uranus-Venus"",""excess_surprisal"":2.0910696983337402,""n_bodies"":4,""note"":""Nested Neptune\u2013Uranus\u2013Venus\u2013Mercury rail""}]"
84,1503-03-09T12:00:00Z,2270086.0,2.0910696983337402,1,"[{""module_id"":""2020_N_U_V"",""source_group"":""2020-03-11"",""family_id"":""F22_D_Neptune-Uranus-Venus"",""excess_surprisal"":2.0910696983337402,""n_bodies"":3,""note"":""Neptune to Uranus/Venus double node""}]"
85,0313-07-14T12:00:00Z,1835575.0,2.0910696983337402,1,"[{""module_id"":""1914_V_U_M"",""source_group"":""1914-06-28"",""family_id"":""F09_D_Mars-Uranus-Venus"",""excess_surprisal"":2.0910696983337402,""n_bodies"":3,""note"":""Venus\u2013Uranus diameter with Mars branch""}]"
86,0628-07-08T12:00:00Z,1950621.0,2.0910696983337402,1,"[{""module_id"":""1918C_V_J_M"",""source_group"":""1918-05-22"",""family_id"":""F01_D_Jupiter-Mars-Venus"",""excess_surprisal"":2.0910696983337402,""n_bodies"":3,""note"":""May 22 Venus\u2013Jupiter\u2013Mars triad""}]"
87,0822-05-27T12:00:00Z,2021436.0,2.0910696983337402,1,"[{""module_id"":""2026B_N_U_V"",""source_group"":""2026-09-17"",""family_id"":""F23_D_Neptune-Uranus-Venus"",""excess_surprisal"":2.0910696983337402,""n_bodies"":3,""note"":""Venus near antipode of Uranus\u2013Neptune midpoint""}]"
88,0612-02-15T12:00:00Z,1944633.0,2.0910696983337402,1,"[{""module_id"":""1918B_Merc_J_V"",""source_group"":""1918-04-17"",""family_id"":""F02_D_Jupiter-Mercury-Venus"",""excess_surprisal"":2.0910696983337402,""n_bodies"":3,""note"":""April 17 Mercury\u2013Jupiter\u2013Venus 30/60/90""}]"
89,0137-11-19T12:00:00Z,1771421.0,2.0910696983337402,1,"[{""module_id"":""2023_P_V_M"",""source_group"":""2023-10-07"",""family_id"":""F08_D_Mars-Pluto-Venus"",""excess_surprisal"":2.0910696983337402,""n_bodies"":3,""note"":""Venus\u2013Mars\u2013Pluto 60/90/150 triad""}]"
90,0979-04-23T12:00:00Z,2078745.0,2.0910696983337402,1,"[{""module_id"":""2026B_N_P_V"",""source_group"":""2026-09-17"",""family_id"":""F21_D_Neptune-Pluto-Venus"",""excess_surprisal"":2.0910696983337402,""n_bodies"":3,""note"":""Neptune\u2013Pluto\u2013Venus 60/90/150 triad""}]"
91,0436-05-23T12:00:00Z,1880449.0,2.024123191833496,1,"[{""module_id"":""1918C_V_J_M"",""source_group"":""1918-05-22"",""family_id"":""F01_D_Jupiter-Mars-Venus"",""excess_surprisal"":2.024123191833496,""n_bodies"":3,""note"":""May 22 Venus\u2013Jupiter\u2013Mars triad""}]"
92,0737-10-25T12:00:00Z,1990541.0,2.024123191833496,1,"[{""module_id"":""1947_Merc_J_V"",""source_group"":""1947-11-29"",""family_id"":""F03_D_Jupiter-Mercury-Venus"",""excess_surprisal"":2.024123191833496,""n_bodies"":3,""note"":""Mercury\u2013Jupiter\u2013Venus 20/20/40 ladder""}]"
93,0621-06-28T12:00:00Z,1948054.0,2.024123191833496,1,"[{""module_id"":""1775_P_Merc_U"",""source_group"":""1775-04-19"",""family_id"":""F13_D_Mercury-Pluto-Uranus"",""excess_surprisal"":2.024123191833496,""n_bodies"":3,""note"":""Pluto\u2013Mercury\u2013Uranus 60/60/120 module""}]"
94,0411-05-02T12:00:00Z,1871296.0,2.024123191833496,1,"[{""module_id"":""2026F_M_V_S_N"",""source_group"":""2026-02-28"",""family_id"":""F35_D_Mercury-Neptune-Saturn-Venus"",""excess_surprisal"":2.024123191833496,""n_bodies"":4,""note"":""Mercury/Venus and Saturn/Neptune dual double-node""}]"
95,1183-12-16T12:00:00Z,2153491.0,2.024123191833496,1,"[{""module_id"":""2023_P_V_M"",""source_group"":""2023-10-07"",""family_id"":""F08_D_Mars-Pluto-Venus"",""excess_surprisal"":2.024123191833496,""n_bodies"":3,""note"":""Venus\u2013Mars\u2013Pluto 60/90/150 triad""}]"
96,1412-11-09T12:00:00Z,2237095.0,2.024123191833496,1,"[{""module_id"":""1913_S_Merc_V"",""source_group"":""1913-12-23"",""family_id"":""F15_D_Mercury-Saturn-Venus"",""excess_surprisal"":2.024123191833496,""n_bodies"":3,""note"":""Saturn opposite Mercury/Venus fork""}]"
97,1475-07-26T12:00:00Z,2259999.0,2.024123191833496,1,"[{""module_id"":""2026B_N_P_V"",""source_group"":""2026-09-17"",""family_id"":""F21_D_Neptune-Pluto-Venus"",""excess_surprisal"":2.024123191833496,""n_bodies"":3,""note"":""Neptune\u2013Pluto\u2013Venus 60/90/150 triad""}]"
98,1076-07-12T12:00:00Z,2114254.0,2.024123191833496,1,"[{""module_id"":""1929_U_Merc_V"",""source_group"":""1929-10-24"",""family_id"":""F16_D_Mercury-Uranus-Venus"",""excess_surprisal"":2.024123191833496,""n_bodies"":3,""note"":""Uranus opposite Mercury/Venus gate""}]"
99,1739-07-18T12:00:00Z,2356415.0,2.024123191833496,1,"[{""module_id"":""2025_J_V_Merc_M"",""source_group"":""2025-09-10"",""family_id"":""F26_D_Jupiter-Mars-Mercury-Venus"",""excess_surprisal"":2.024123191833496,""n_bodies"":4,""note"":""Jupiter\u2013Venus\u2013Mercury\u2013Mars 0/30/60/90 ladder""}]"
100,1773-08-01T12:00:00Z,2368848.0,2.024123191833496,1,"[{""module_id"":""1978_Merc_N_M"",""source_group"":""1978-12-11"",""family_id"":""F05_D_Mars-Mercury-Neptune"",""excess_surprisal"":2.024123191833496,""n_bodies"":3,""note"":""Mercury\u2013Neptune\u2013Mars midpoint""}]"
101,1177-08-24T12:00:00Z,2151186.0,2.024123191833496,1,"[{""module_id"":""1914_V_U_M"",""source_group"":""1914-06-28"",""family_id"":""F09_D_Mars-Uranus-Venus"",""excess_surprisal"":2.024123191833496,""n_bodies"":3,""note"":""Venus\u2013Uranus diameter with Mars branch""}]"
102,1199-08-03T12:00:00Z,2159200.0,2.024123191833496,1,"[{""module_id"":""2008_Merc_V_M"",""source_group"":""2008-09-15"",""family_id"":""F06_D_Mars-Mercury-Venus"",""excess_surprisal"":2.024123191833496,""n_bodies"":3,""note"":""Mercury\u2013Venus\u2013Mars triple node""}]"
103,1080-08-18T12:00:00Z,2115752.0,2.024123191833496,1,"[{""module_id"":""1918B_Merc_J_V"",""source_group"":""1918-04-17"",""family_id"":""F02_D_Jupiter-Mercury-Venus"",""excess_surprisal"":2.024123191833496,""n_bodies"":3,""note"":""April 17 Mercury\u2013Jupiter\u2013Venus 30/60/90""}]"
104,1790-09-12T12:00:00Z,2375099.0,1.9661312103271484,1,"[{""module_id"":""1978_Merc_N_M"",""source_group"":""1978-12-11"",""family_id"":""F05_D_Mars-Mercury-Neptune"",""excess_surprisal"":1.9661312103271484,""n_bodies"":3,""note"":""Mercury\u2013Neptune\u2013Mars midpoint""}]"
105,1286-07-20T12:00:00Z,2190963.0,1.9661312103271484,1,"[{""module_id"":""1913_S_Merc_V"",""source_group"":""1913-12-23"",""family_id"":""F15_D_Mercury-Saturn-Venus"",""excess_surprisal"":1.9661312103271484,""n_bodies"":3,""note"":""Saturn opposite Mercury/Venus fork""}]"
106,1931-11-23T12:00:00Z,2426669.0,1.9661312103271484,1,"[{""module_id"":""2008_Merc_V_M"",""source_group"":""2008-09-15"",""family_id"":""F06_D_Mars-Mercury-Venus"",""excess_surprisal"":1.9661312103271484,""n_bodies"":3,""note"":""Mercury\u2013Venus\u2013Mars triple node""}]"
107,1979-09-28T12:00:00Z,2444145.0,1.9661312103271484,1,"[{""module_id"":""1978_P_U_N"",""source_group"":""1978-12-11"",""family_id"":""F18_D_Neptune-Pluto-Uranus"",""excess_surprisal"":1.9661312103271484,""n_bodies"":3,""note"":""Pluto\u2013Uranus\u2013Neptune midpoint""}]"
108,0352-05-15T12:00:00Z,1849760.0,1.9661312103271484,1,"[{""module_id"":""1947_Merc_J_V"",""source_group"":""1947-11-29"",""family_id"":""F03_D_Jupiter-Mercury-Venus"",""excess_surprisal"":1.9661312103271484,""n_bodies"":3,""note"":""Mercury\u2013Jupiter\u2013Venus 20/20/40 ladder""}]"
109,0370-02-08T12:00:00Z,1856238.0,1.9661312103271484,1,"[{""module_id"":""2020_S_Merc_N"",""source_group"":""2020-03-11"",""family_id"":""F12_D_Mercury-Neptune-Saturn"",""excess_surprisal"":1.9661312103271484,""n_bodies"":3,""note"":""Saturn\u2013Mercury\u2013Neptune 30/20/50 rail""}]"
110,1737-05-29T12:00:00Z,2355635.0,1.9661312103271484,1,"[{""module_id"":""1914_V_U_M"",""source_group"":""1914-06-28"",""family_id"":""F09_D_Mars-Uranus-Venus"",""excess_surprisal"":1.9661312103271484,""n_bodies"":3,""note"":""Venus\u2013Uranus diameter with Mars branch""}]"
111,1777-03-18T12:00:00Z,2370173.0,1.9661312103271484,1,"[{""module_id"":""1918C_V_J_M"",""source_group"":""1918-05-22"",""family_id"":""F01_D_Jupiter-Mars-Venus"",""excess_surprisal"":1.9661312103271484,""n_bodies"":3,""note"":""May 22 Venus\u2013Jupiter\u2013Mars triad""}]"
112,0493-11-21T12:00:00Z,1901450.0,1.9661312103271484,1,"[{""module_id"":""2000_P_N_S"",""source_group"":""2000-03-10"",""family_id"":""F17_D_Neptune-Pluto-Saturn"",""excess_surprisal"":1.9661312103271484,""n_bodies"":3,""note"":""Pluto\u2013Neptune\u2013Saturn closure""}]"
113,0117-02-09T12:00:00Z,1763833.0,1.9661312103271484,1,"[{""module_id"":""1929_U_Merc_V"",""source_group"":""1929-10-24"",""family_id"":""F16_D_Mercury-Uranus-Venus"",""excess_surprisal"":1.9661312103271484,""n_bodies"":3,""note"":""Uranus opposite Mercury/Venus gate""}]"
114,0545-08-12T12:00:00Z,1920341.0,1.9661312103271484,1,"[{""module_id"":""2023_P_V_M"",""source_group"":""2023-10-07"",""family_id"":""F08_D_Mars-Pluto-Venus"",""excess_surprisal"":1.9661312103271484,""n_bodies"":3,""note"":""Venus\u2013Mars\u2013Pluto 60/90/150 triad""}]"
115,0114-06-20T12:00:00Z,1762868.0,1.9661312103271484,1,"[{""module_id"":""1775_P_Merc_U"",""source_group"":""1775-04-19"",""family_id"":""F13_D_Mercury-Pluto-Uranus"",""excess_surprisal"":1.9661312103271484,""n_bodies"":3,""note"":""Pluto\u2013Mercury\u2013Uranus 60/60/120 module""}]"
116,1855-11-24T12:00:00Z,2398912.0,1.9661312103271484,1,"[{""module_id"":""2026B_N_U_V"",""source_group"":""2026-09-17"",""family_id"":""F23_D_Neptune-Uranus-Venus"",""excess_surprisal"":1.9661312103271484,""n_bodies"":3,""note"":""Venus near antipode of Uranus\u2013Neptune midpoint""}]"
117,0061-11-28T12:00:00Z,1743672.0,1.9661312103271484,1,"[{""module_id"":""2026A_S_M_J_Merc"",""source_group"":""2026-09-01"",""family_id"":""F25_D_Jupiter-Mars-Mercury-Saturn"",""excess_surprisal"":1.9661312103271484,""n_bodies"":4,""note"":""Saturn-anchored 90/120/150 fan and 30/30/60 ladder""}]"
118,0281-03-21T12:00:00Z,1823773.0,1.9661312103271484,1,"[{""module_id"":""1918B_Merc_J_V"",""source_group"":""1918-04-17"",""family_id"":""F02_D_Jupiter-Mercury-Venus"",""excess_surprisal"":1.9661312103271484,""n_bodies"":3,""note"":""April 17 Mercury\u2013Jupiter\u2013Venus 30/60/90""}]"
119,1236-11-11T12:00:00Z,2172815.0,1.9661312103271484,1,"[{""module_id"":""1918A_V_U_S_N"",""source_group"":""1918-04-05"",""family_id"":""F39_D_Neptune-Saturn-Uranus-Venus"",""excess_surprisal"":1.9661312103271484,""n_bodies"":4,""note"":""April 5 dual double-nodes""}]"
120,0492-08-24T12:00:00Z,1900996.0,1.9661312103271484,1,"[{""module_id"":""1929_U_Merc_V_M"",""source_group"":""1929-10-24"",""family_id"":""F34_D_Mars-Mercury-Uranus-Venus"",""excess_surprisal"":1.9661312103271484,""n_bodies"":4,""note"":""Opposition gate plus 30-degree Mars routing""}]"
121,1413-01-14T12:00:00Z,2237161.0,1.9661312103271484,1,"[{""module_id"":""2025_J_V_Merc_M"",""source_group"":""2025-09-10"",""family_id"":""F26_D_Jupiter-Mars-Mercury-Venus"",""excess_surprisal"":1.9661312103271484,""n_bodies"":4,""note"":""Jupiter\u2013Venus\u2013Mercury\u2013Mars 0/30/60/90 ladder""}]"
122,0505-01-31T12:00:00Z,1905538.0,1.9661312103271484,1,"[{""module_id"":""1775_Merc_U_S"",""source_group"":""1775-04-19"",""family_id"":""F14_D_Mercury-Saturn-Uranus"",""excess_surprisal"":1.9661312103271484,""n_bodies"":3,""note"":""Mercury\u2013Uranus\u2013Saturn 60/120/180 module""}]"
123,1144-12-31T12:00:00Z,2139262.0,1.9661312103271484,1,"[{""module_id"":""1978_J_S_P"",""source_group"":""1978-12-11"",""family_id"":""F04_D_Jupiter-Pluto-Saturn"",""excess_surprisal"":1.9661312103271484,""n_bodies"":3,""note"":""Jupiter\u2013Saturn\u2013Pluto midpoint""}]"
124,1152-09-06T12:00:00Z,2142068.0,1.9149785041809082,1,"[{""module_id"":""1918B_Merc_J_V"",""source_group"":""1918-04-17"",""family_id"":""F02_D_Jupiter-Mercury-Venus"",""excess_surprisal"":1.9149785041809082,""n_bodies"":3,""note"":""April 17 Mercury\u2013Jupiter\u2013Venus 30/60/90""}]"
125,0573-08-03T12:00:00Z,1930559.0,1.9149785041809082,1,"[{""module_id"":""1929_U_Merc_V"",""source_group"":""1929-10-24"",""family_id"":""F16_D_Mercury-Uranus-Venus"",""excess_surprisal"":1.9149785041809082,""n_bodies"":3,""note"":""Uranus opposite Mercury/Venus gate""}]"
126,1682-08-18T12:00:00Z,2335628.0,1.9149785041809082,1,"[{""module_id"":""2026B_N_U_V"",""source_group"":""2026-09-17"",""family_id"":""F23_D_Neptune-Uranus-Venus"",""excess_surprisal"":1.9149785041809082,""n_bodies"":3,""note"":""Venus near antipode of Uranus\u2013Neptune midpoint""}]"
127,1536-10-27T12:00:00Z,2282372.0,1.9149785041809082,1,"[{""module_id"":""2026B_N_P_V"",""source_group"":""2026-09-17"",""family_id"":""F21_D_Neptune-Pluto-Venus"",""excess_surprisal"":1.9149785041809082,""n_bodies"":3,""note"":""Neptune\u2013Pluto\u2013Venus 60/90/150 triad""}]"
128,1142-09-25T12:00:00Z,2138434.0,1.9149785041809082,1,"[{""module_id"":""1775_Merc_U_S"",""source_group"":""1775-04-19"",""family_id"":""F14_D_Mercury-Saturn-Uranus"",""excess_surprisal"":1.9149785041809082,""n_bodies"":3,""note"":""Mercury\u2013Uranus\u2013Saturn 60/120/180 module""}]"
129,1391-08-07T12:00:00Z,2229331.0,1.9149785041809082,1,"[{""module_id"":""2008_Merc_V_M"",""source_group"":""2008-09-15"",""family_id"":""F06_D_Mars-Mercury-Venus"",""excess_surprisal"":1.9149785041809082,""n_bodies"":3,""note"":""Mercury\u2013Venus\u2013Mars triple node""}]"
130,1861-08-22T12:00:00Z,2401010.0,1.9149785041809082,1,"[{""module_id"":""1947_Merc_J_V"",""source_group"":""1947-11-29"",""family_id"":""F03_D_Jupiter-Mercury-Venus"",""excess_surprisal"":1.9149785041809082,""n_bodies"":3,""note"":""Mercury\u2013Jupiter\u2013Venus 20/20/40 ladder""}]"
131,1703-03-13T12:00:00Z,2343139.0,1.9149785041809082,1,"[{""module_id"":""2026F_M_V_S_N"",""source_group"":""2026-02-28"",""family_id"":""F35_D_Mercury-Neptune-Saturn-Venus"",""excess_surprisal"":1.9149785041809082,""n_bodies"":4,""note"":""Mercury/Venus and Saturn/Neptune dual double-node""}]"
132,0287-09-06T12:00:00Z,1826133.0,1.9149785041809082,1,"[{""module_id"":""2023_P_V_M"",""source_group"":""2023-10-07"",""family_id"":""F08_D_Mars-Pluto-Venus"",""excess_surprisal"":1.9149785041809082,""n_bodies"":3,""note"":""Venus\u2013Mars\u2013Pluto 60/90/150 triad""}]"
133,0301-02-16T12:00:00Z,1831044.0,1.9149785041809082,1,"[{""module_id"":""1913_S_Merc_V"",""source_group"":""1913-12-23"",""family_id"":""F15_D_Mercury-Saturn-Venus"",""excess_surprisal"":1.9149785041809082,""n_bodies"":3,""note"":""Saturn opposite Mercury/Venus fork""}]"
134,1666-12-17T12:00:00Z,2329905.0,1.9149785041809082,1,"[{""module_id"":""1978_Merc_N_M"",""source_group"":""1978-12-11"",""family_id"":""F05_D_Mars-Mercury-Neptune"",""excess_surprisal"":1.9149785041809082,""n_bodies"":3,""note"":""Mercury\u2013Neptune\u2013Mars midpoint""}]"
135,0081-05-06T12:00:00Z,1750771.0,1.9149785041809082,1,"[{""module_id"":""1947_P_S_M"",""source_group"":""1947-11-29"",""family_id"":""F07_D_Mars-Pluto-Saturn"",""excess_surprisal"":1.9149785041809082,""n_bodies"":3,""note"":""Pluto\u2013Saturn\u2013Mars tiny midpoint""}]"
136,1125-03-01T12:00:00Z,2132017.0,1.8692212104797363,1,"[{""module_id"":""1929_U_Merc_V"",""source_group"":""1929-10-24"",""family_id"":""F16_D_Mercury-Uranus-Venus"",""excess_surprisal"":1.8692212104797363,""n_bodies"":3,""note"":""Uranus opposite Mercury/Venus gate""}]"
137,0658-12-28T12:00:00Z,1961751.0,1.8692212104797363,1,"[{""module_id"":""2023_P_V_M"",""source_group"":""2023-10-07"",""family_id"":""F08_D_Mars-Pluto-Venus"",""excess_surprisal"":1.8692212104797363,""n_bodies"":3,""note"":""Venus\u2013Mars\u2013Pluto 60/90/150 triad""}]"
138,0439-05-06T12:00:00Z,1881527.0,1.8692212104797363,1,"[{""module_id"":""1918A_P_Merc_N"",""source_group"":""1918-04-05"",""family_id"":""F11_D_Mercury-Neptune-Pluto"",""excess_surprisal"":1.8692212104797363,""n_bodies"":3,""note"":""April 5 Pluto\u2013Mercury\u2013Neptune 30/60/90""}]"
139,0484-10-25T12:00:00Z,1898136.0,1.8692212104797363,1,"[{""module_id"":""1775_P_Merc_U"",""source_group"":""1775-04-19"",""family_id"":""F13_D_Mercury-Pluto-Uranus"",""excess_surprisal"":1.8692212104797363,""n_bodies"":3,""note"":""Pluto\u2013Mercury\u2013Uranus 60/60/120 module""}]"
140,0555-06-26T12:00:00Z,1923946.0,1.8692212104797363,1,"[{""module_id"":""1947_Merc_J_V"",""source_group"":""1947-11-29"",""family_id"":""F03_D_Jupiter-Mercury-Venus"",""excess_surprisal"":1.8692212104797363,""n_bodies"":3,""note"":""Mercury\u2013Jupiter\u2013Venus 20/20/40 ladder""}]"
141,1483-12-28T12:00:00Z,2263076.0,1.8692212104797363,1,"[{""module_id"":""2000_N_U_V_Merc"",""source_group"":""2000-03-10"",""family_id"":""F36_D_Mercury-Neptune-Uranus-Venus"",""excess_surprisal"":1.8692212104797363,""n_bodies"":4,""note"":""Nested Neptune\u2013Uranus\u2013Venus\u2013Mercury rail""}]"
142,1205-03-25T12:00:00Z,2161261.0,1.8692212104797363,1,"[{""module_id"":""1918C_V_J_M"",""source_group"":""1918-05-22"",""family_id"":""F01_D_Jupiter-Mars-Venus"",""excess_surprisal"":1.8692212104797363,""n_bodies"":3,""note"":""May 22 Venus\u2013Jupiter\u2013Mars triad""}]"
143,1069-08-03T12:00:00Z,2111719.0,1.8692212104797363,1,"[{""module_id"":""1914_V_U_M"",""source_group"":""1914-06-28"",""family_id"":""F09_D_Mars-Uranus-Venus"",""excess_surprisal"":1.8692212104797363,""n_bodies"":3,""note"":""Venus\u2013Uranus diameter with Mars branch""}]"
144,1338-08-09T12:00:00Z,2209975.0,1.8692212104797363,1,"[{""module_id"":""2026B_N_U_V"",""source_group"":""2026-09-17"",""family_id"":""F23_D_Neptune-Uranus-Venus"",""excess_surprisal"":1.8692212104797363,""n_bodies"":3,""note"":""Venus near antipode of Uranus\u2013Neptune midpoint""}]"
145,1787-09-04T12:00:00Z,2373995.0,1.8692212104797363,1,"[{""module_id"":""1913_S_Merc_V"",""source_group"":""1913-12-23"",""family_id"":""F15_D_Mercury-Saturn-Venus"",""excess_surprisal"":1.8692212104797363,""n_bodies"":3,""note"":""Saturn opposite Mercury/Venus fork""}]"
146,0952-10-28T12:00:00Z,2069072.0,1.8692212104797363,1,"[{""module_id"":""1918B_Merc_J_V"",""source_group"":""1918-04-17"",""family_id"":""F02_D_Jupiter-Mercury-Venus"",""excess_surprisal"":1.8692212104797363,""n_bodies"":3,""note"":""April 17 Mercury\u2013Jupiter\u2013Venus 30/60/90""}]"
147,1982-08-10T12:00:00Z,2445192.0,1.8692212104797363,1,"[{""module_id"":""2026B_N_P_V"",""source_group"":""2026-09-17"",""family_id"":""F21_D_Neptune-Pluto-Venus"",""excess_surprisal"":1.8692212104797363,""n_bodies"":3,""note"":""Neptune\u2013Pluto\u2013Venus 60/90/150 triad""}]"
148,0131-09-29T12:00:00Z,1769178.0,1.8692212104797363,1,"[{""module_id"":""2008_Merc_V_M"",""source_group"":""2008-09-15"",""family_id"":""F06_D_Mars-Mercury-Venus"",""excess_surprisal"":1.8692212104797363,""n_bodies"":3,""note"":""Mercury\u2013Venus\u2013Mars triple node""}]"
149,1558-05-16T12:00:00Z,2290243.0,1.8692212104797363,1,"[{""module_id"":""1978_Merc_N_M"",""source_group"":""1978-12-11"",""family_id"":""F05_D_Mars-Mercury-Neptune"",""excess_surprisal"":1.8692212104797363,""n_bodies"":3,""note"":""Mercury\u2013Neptune\u2013Mars midpoint""}]"
150,1752-06-30T12:00:00Z,2361146.0,1.8278284072875977,1,"[{""module_id"":""1913_S_Merc_V"",""source_group"":""1913-12-23"",""family_id"":""F15_D_Mercury-Saturn-Venus"",""excess_surprisal"":1.8278284072875977,""n_bodies"":3,""note"":""Saturn opposite Mercury/Venus fork""}]"
151,0839-04-11T12:00:00Z,2027599.0,1.8278284072875977,1,"[{""module_id"":""1918B_Merc_J_V"",""source_group"":""1918-04-17"",""family_id"":""F02_D_Jupiter-Mercury-Venus"",""excess_surprisal"":1.8278284072875977,""n_bodies"":3,""note"":""April 17 Mercury\u2013Jupiter\u2013Venus 30/60/90""}]"
152,1854-10-21T12:00:00Z,2398513.0,1.8278284072875977,1,"[{""module_id"":""2026B_N_U_V"",""source_group"":""2026-09-17"",""family_id"":""F23_D_Neptune-Uranus-Venus"",""excess_surprisal"":1.8278284072875977,""n_bodies"":3,""note"":""Venus near antipode of Uranus\u2013Neptune midpoint""}]"
153,1568-12-05T12:00:00Z,2294099.0,1.8278284072875977,1,"[{""module_id"":""2008_Merc_V_M"",""source_group"":""2008-09-15"",""family_id"":""F06_D_Mars-Mercury-Venus"",""excess_surprisal"":1.8278284072875977,""n_bodies"":3,""note"":""Mercury\u2013Venus\u2013Mars triple node""}]"
154,0211-04-14T12:00:00Z,1798229.0,1.8278284072875977,1,"[{""module_id"":""1929_U_Merc_V"",""source_group"":""1929-10-24"",""family_id"":""F16_D_Mercury-Uranus-Venus"",""excess_surprisal"":1.8278284072875977,""n_bodies"":3,""note"":""Uranus opposite Mercury/Venus gate""}]"
155,1912-11-05T12:00:00Z,2419712.0,1.8278284072875977,1,"[{""module_id"":""1775_Merc_U_S"",""source_group"":""1775-04-19"",""family_id"":""F14_D_Mercury-Saturn-Uranus"",""excess_surprisal"":1.8278284072875977,""n_bodies"":3,""note"":""Mercury\u2013Uranus\u2013Saturn 60/120/180 module""}]"
156,1308-04-24T12:00:00Z,2198911.0,1.8278284072875977,1,"[{""module_id"":""1914_V_U_M"",""source_group"":""1914-06-28"",""family_id"":""F09_D_Mars-Uranus-Venus"",""excess_surprisal"":1.8278284072875977,""n_bodies"":3,""note"":""Venus\u2013Uranus diameter with Mars branch""}]"
157,1423-07-20T12:00:00Z,2241000.0,1.8278284072875977,1,"[{""module_id"":""1914_P_N_Merc_M"",""source_group"":""1914-06-28"",""family_id"":""F33_D_Mars-Mercury-Neptune-Pluto"",""excess_surprisal"":1.8278284072875977,""n_bodies"":4,""note"":""Pluto \u2192 Neptune/Mercury double-node \u2192 Mars""}]"
158,1425-05-18T12:00:00Z,2241668.0,1.8278284072875977,1,"[{""module_id"":""1918C_P_Merc_N"",""source_group"":""1918-05-22"",""family_id"":""F11_D_Mercury-Neptune-Pluto"",""excess_surprisal"":1.8278284072875977,""n_bodies"":3,""note"":""May 22 Pluto\u2013Mercury\u2013Neptune triad""}]"
159,1680-02-23T12:00:00Z,2334721.0,1.8278284072875977,1,"[{""module_id"":""1978_Merc_N_M"",""source_group"":""1978-12-11"",""family_id"":""F05_D_Mars-Mercury-Neptune"",""excess_surprisal"":1.8278284072875977,""n_bodies"":3,""note"":""Mercury\u2013Neptune\u2013Mars midpoint""}]"
160,0060-11-18T12:00:00Z,1743297.0,1.8278284072875977,1,"[{""module_id"":""2026B_N_P_V"",""source_group"":""2026-09-17"",""family_id"":""F21_D_Neptune-Pluto-Venus"",""excess_surprisal"":1.8278284072875977,""n_bodies"":3,""note"":""Neptune\u2013Pluto\u2013Venus 60/90/150 triad""}]"
161,1091-11-13T12:00:00Z,2119856.0,1.8278284072875977,1,"[{""module_id"":""1947_M_V_U"",""source_group"":""1947-11-29"",""family_id"":""F10_D_Mars-Uranus-Venus"",""excess_surprisal"":1.8278284072875977,""n_bodies"":3,""note"":""Mars\u2013Venus\u2013Uranus 60/120/180 gate""}]"
162,0734-04-19T12:00:00Z,1989256.0,1.7900400161743164,1,"[{""module_id"":""2026F_M_V_S_N"",""source_group"":""2026-02-28"",""family_id"":""F35_D_Mercury-Neptune-Saturn-Venus"",""excess_surprisal"":1.7900400161743164,""n_bodies"":4,""note"":""Mercury/Venus and Saturn/Neptune dual double-node""}]"
163,1039-02-15T12:00:00Z,2100592.0,1.7900400161743164,1,"[{""module_id"":""1918B_Merc_J_V"",""source_group"":""1918-04-17"",""family_id"":""F02_D_Jupiter-Mercury-Venus"",""excess_surprisal"":1.7900400161743164,""n_bodies"":3,""note"":""April 17 Mercury\u2013Jupiter\u2013Venus 30/60/90""}]"
164,0670-03-21T12:00:00Z,1965852.0,1.7900400161743164,1,"[{""module_id"":""2008_Merc_V_M"",""source_group"":""2008-09-15"",""family_id"":""F06_D_Mars-Mercury-Venus"",""excess_surprisal"":1.7900400161743164,""n_bodies"":3,""note"":""Mercury\u2013Venus\u2013Mars triple node""}]"
165,1732-10-20T12:00:00Z,2353953.0,1.7900400161743164,1,"[{""module_id"":""1775_Merc_U_S"",""source_group"":""1775-04-19"",""family_id"":""F14_D_Mercury-Saturn-Uranus"",""excess_surprisal"":1.7900400161743164,""n_bodies"":3,""note"":""Mercury\u2013Uranus\u2013Saturn 60/120/180 module""}]"
